0.47	 3.87	 0.00
2.84	 3.33	 0.00
0.61	 2.51	 0.00
3.82	 1.65	 1.00
1.28	 0.63	 1.00
0.99	 5.87	 0.00
1.05	 -0.10	 1.00
0.91	 4.20	 0.00
0.88	 3.64	 0.00
0.91	 -0.41	 1.00
0.89	 4.50	 0.00
3.09	 1.38	 1.00
1.28	 1.78	 1.00
2.61	 -0.17	 1.00
-0.97	 3.39	 0.00
-0.07	 2.88	 0.00
4.51	 0.69	 1.00
0.51	 1.43	 1.00
3.17	 0.38	 1.00
1.73	 0.89	 1.00
1.42	 6.00	 0.00
-0.36	 2.34	 0.00
1.04	 0.30	 1.00
1.29	 4.82	 0.00
0.35	 3.82	 0.00
1.10	 1.91	 1.00
0.16	 2.90	 0.00
0.23	 3.48	 0.00
0.84	 4.01	 0.00
1.16	 3.92	 0.00
2.73	 2.20	 1.00
1.71	 0.64	 1.00
0.38	 4.07	 0.00
0.98	 4.83	 0.00
1.73	 5.17	 0.00
-0.30	 3.72	 0.00
0.78	 4.40	 0.00
3.34	 0.01	 1.00
0.58	 4.67	 0.00
2.28	 1.10	 1.00
2.98	 0.77	 1.00
0.26	 3.49	 0.00
0.51	 4.79	 0.00
3.45	 -0.74	 1.00
2.25	 -0.26	 1.00
1.95	 -0.15	 1.00
2.66	 -0.73	 1.00
1.30	 1.20	 1.00
0.16	 2.58	 0.00
2.27	 -0.34	 1.00
0.86	 0.40	 1.00
2.20	 -0.08	 1.00
2.01	 1.14	 1.00
2.10	 4.80	 0.00
3.45	 1.94	 1.00
-0.96	 4.49	 0.00
1.85	 4.58	 0.00
2.19	 -0.51	 1.00
3.62	 -0.04	 1.00
1.53	 0.79	 1.00
1.22	 3.93	 0.00
1.91	 4.64	 0.00
2.10	 2.76	 1.00
1.50	 4.13	 0.00
1.00	 0.34	 1.00
1.14	 4.40	 0.00
2.10	 0.57	 1.00
0.30	 5.60	 0.00
2.21	 1.94	 1.00
2.91	 0.06	 1.00
0.68	 -0.17	 1.00
1.20	 4.63	 0.00
2.12	 0.91	 1.00
2.01	 0.29	 1.00
2.08	 1.51	 1.00
1.27	 5.13	 0.00
2.47	 4.10	 0.00
-1.68	 4.91	 0.00
1.31	 5.25	 0.00
0.84	 5.38	 0.00
0.34	 3.94	 0.00
0.54	 4.02	 0.00
2.01	 3.31	 0.00
2.72	 5.30	 0.00
2.52	 2.61	 1.00
2.15	 1.28	 1.00
1.62	 2.73	 0.00
2.20	 2.73	 1.00
2.55	 1.38	 1.00
-0.47	 3.09	 0.00
1.75	 0.24	 1.00
3.14	 5.64	 0.00
1.01	 4.23	 0.00
1.70	 4.33	 0.00
1.75	 5.13	 0.00
2.12	 0.43	 1.00
0.71	 5.11	 0.00
0.33	 2.70	 1.00
0.24	 5.85	 0.00
0.57	 -0.41	 1.00
-1.28	 3.28	 0.00
2.09	 1.41	 1.00
1.83	 3.65	 0.00
-0.09	 5.36	 0.00
-0.08	 5.12	 0.00
-0.98	 3.64	 0.00
0.55	 3.47	 0.00
3.10	 1.50	 1.00
1.62	 2.69	 0.00
1.65	 0.10	 1.00
-0.85	 4.61	 0.00
1.93	 0.63	 1.00
0.23	 0.20	 1.00
1.74	 4.66	 0.00
0.54	 6.15	 0.00
3.33	 0.19	 1.00
1.27	 5.63	 0.00
1.25	 3.41	 0.00
2.37	 1.20	 1.00
4.74	 0.70	 1.00
1.77	 -0.26	 1.00
0.85	 5.44	 0.00
1.02	 4.12	 0.00
2.38	 3.89	 0.00
1.91	 5.72	 0.00
0.57	 -0.37	 1.00
-0.79	 4.66	 0.00
5.23	 1.09	 1.00
1.31	 6.53	 0.00
1.26	 4.21	 0.00
2.45	 2.49	 1.00
0.61	 4.06	 0.00
1.93	 4.39	 0.00
-0.36	 2.96	 0.00
4.38	 1.01	 1.00
-0.72	 2.05	 1.00
2.41	 0.42	 1.00
1.96	 -0.15	 1.00
2.93	 -0.93	 1.00
0.42	 3.83	 0.00
0.04	 3.04	 0.00
-0.34	 3.84	 0.00
-0.06	 2.30	 1.00
2.07	 3.10	 1.00
2.65	 0.64	 1.00
-0.07	 5.51	 0.00
3.10	 1.06	 1.00
2.83	 1.33	 1.00
2.44	 2.07	 1.00
1.76	 3.84	 0.00
1.72	 3.11	 0.00
1.92	 4.15	 0.00
2.52	 0.50	 1.00
2.34	 1.31	 1.00
2.62	 4.47	 0.00
0.21	 4.84	 0.00
0.21	 4.86	 0.00
2.37	 0.76	 1.00
0.26	 -0.17	 1.00
1.42	 4.48	 0.00
2.47	 2.23	 0.00
-0.15	 3.57	 0.00
1.60	 2.70	 0.00
-0.18	 5.08	 0.00
1.53	 1.94	 1.00
4.68	 0.15	 1.00
0.87	 5.32	 0.00
0.53	 3.65	 0.00
-0.10	 2.22	 1.00
1.65	 3.60	 0.00
1.85	 4.19	 0.00
0.39	 0.77	 1.00
2.66	 0.30	 1.00
2.02	 -0.63	 1.00
0.79	 3.91	 0.00
1.75	 0.46	 1.00
-1.39	 5.17	 0.00
-0.61	 4.91	 0.00
0.31	 4.63	 0.00
0.84	 5.44	 0.00
1.72	 0.18	 1.00
0.86	 3.62	 0.00
1.92	 4.04	 0.00
0.04	 1.49	 1.00
0.70	 3.59	 0.00
3.96	 0.88	 1.00
0.92	 1.89	 1.00
2.99	 -0.49	 1.00
0.41	 4.57	 0.00
0.71	 2.16	 1.00
0.08	 5.62	 0.00
1.72	 2.93	 1.00
3.67	 0.07	 1.00
0.67	 0.36	 1.00
0.58	 3.14	 0.00
1.08	 0.31	 1.00
2.46	 0.89	 1.00
2.70	 1.49	 1.00
3.66	 0.71	 1.00
1.50	 3.73	 0.00
2.47	 -0.34	 1.00
2.99	 1.58	 1.00
1.09	 3.92	 0.00
0.57	 5.53	 0.00
2.72	 -1.64	 1.00
